Review,Star
"Your browser does not support HTML5 video.


   Not responding after few minutes. Even if I speak within 30cm range. I have to press mute and unmute again to make it work. Have to return.",1
"Sound is Okay not WowAI needs a lot of improvementI would say, not worth at this price point",5
Alexa is recording everything spoken at home and uploading to Amazon servers and then suggesting  what ig thinks you need to buy through the app. This is severe violation of personal privacy and illegalInchu of Amazon customer  care 1424H is in denial and defending  the indefensible. Wonder what the public think of Amazons illegal invasion of personal space like this,5
It’s just awesome.👍😍 I thought dot is bit small so the sound quality may affect due to size but really it’s really a beast. The sound system is just beyond my expectations in one room the sound to the full volume is very loud.,1
Sound output comes as if ur listening from JBL 320watt speakers with woofer.Loud enough for 15 feet roomEasy to setup via alexa App on ur smaet phoneBest part is it recognises and responds much faster than human now. It can respond from 8 to 10feet as wellExcellent build quality!!My kids use this a Teacher asking questions related GK /Math & Science to know more about the subject andI use it to play fm and music etcOverall a great product with xcellent features.It would have been good if they added a battery back up option as it powers down during electricity failure.Dont hesitate..just buy and see the fun.This has become a new family member and needs respect 24×7.,1
"I initially ordered the puck ball Alexa, the third generation one. I was not sure (like my kindle, or JBL flip etc) if I had a proper use case for it. It came, though the sound was feebler than this Alexa, I found it to be useful- it can keep reminder for me, set up alarms, can play songs while i work, and can crack occasional bad jokes to laugh at. My wife uses it to find out recipes, and news is another good thing. For the sake of nostalgia, i also listen to Vividh Bharati (All India Radio) on it. It is an absolute treat- a darling.Since I have a variety of speakers, and headphones, I can compare the latest 4th generation Alexa:Sound quality:It's a mono speaker, so do not expect the quality of Herman Kardon, Bose, B&O, etc. However, in the Alexa dot sub family, it has a better sound than previous Alexa's. The advantage here is that the speakers are upward firing, and are 1.6 inches in diameter, instead of 1.1 inches in 3rd generation, where they were downwards. Volume wise- it has a better volume than the 3rd generation one. Compared to JBL Flip, its max volume stands lesser though. But this is good to fill a room 30 feet by 30 feet, is my observation.Ease of use: Alexa now has a neural chip. What this means, in lay terms is that some preprocessing of your voice will happen here itself on Alexa, and will be sent to server as a simpler request to resolve into action. The server will find simpler instruction easier to solve, and hence saves time.In reality, the neural chip takes some time to get accustomed to your voice, pronunciation, and accent. After initial few days (about 2-3 days, so keep patience), it begins to understand your utterances better than Alexa 3rd gen.The bass, treble, and middle can be adjusted though the app (an equalizer is given in the settings of Alexa app).There are a lot of apps for music, news, and other things, and the sound is crystal clear.Build:This one has internal chassis made up of aluminum, so it is sturdier than its predecessors- Alexa 3rd gen. As a cost of being stronger, it is a bit heavy, but by 200 grams, so I will not whine about it.Design:The hockey puck shape was beautiful in my opinion, but even this shape is good too. However, the light is at the base, so it can not be seen while lying on bed, and if the alexa is at a higher altitude than you. I felt, that if they put the light slanted, along the edge of cloth and plastic, it would be visible form all angles, and it would look eccentrically beautiful, but to each his own. No complaints here too.Smart home:It can integrate wide varieties of smart bulbs, switches etc seamlessly. This has caused me to buy 3 bulbs, and 1 switch to integrate with it. Using the ""routines"" section in setting allows me to set up the lights, volume of alexa etc according to the time of the day. this has cause a sort of automatic switching in my home. (I found philips bulbs far better than Wipro bulb which came with this Alexa).Online shopping:Amazon encourages the buying through Alexa, but I find it too much of a risque. I don't want to order things in a jiffy, instead, i plan, research, and then buy. So I will not comment anything there.Cons of Alexa:1. No battery: it would be good if we could carry this geodesic piece of beauty along, from room to room. Only if we could.2. Wire colour: Wire is only colored white, which does not match with other colours of Alexa like Black and Blue. This is more about aesthetics than function of it.3. No Micro USB: The charger has a proprietary pin, hence regular chargers do not fit.4. It should buffer the song it is playing, so that the whole song is free from internet disruption. Hence, repeating the song will also be independent of internet.5. Sound quality: just ok, but it can be compensated by attaching it to a good speaker like JBL Flip, Bose etc.Summary, I am finding it as a handy instrument to set up timers, alarms, reminders (I am usually busy at work), songs etc. So there are uses which I am cool about. It has somehow, replaced the use of tablet and JBL to play the songs.",2
"Disappointed by the pre-booking. I was under the impression that priority will given to them on delivery but that's not how it's happening. For the same location delivery is available for the next day, for the same price and offer ! Even after assurances from customer care, the date of delivery has been further shifted to 1st November !! This is totally ridiculous, never expected this from Amazon. Would definitely never do a pre-order.",4.4
"It's just wonderful . please go through my YouTube channel SuAni Tech for the unboxing of this latest gadget All-new Alexa Echo For, thanks Amazon for good service ❤️",5
"Love the design of the new echo dot (my primary reason for buying it). As of now, I don't see a huge difference between 2nd generation and this one.",2
"Thanks to google that I reviewed the products well and did not go for 3rd gen.This 4th gen product has a better chip for voice processing.It is faster, correct and also clear. I have tested it from 10 feet once and Alexa correctly understood the command.Once we checked from another room (note that there was a solid wall between me and Alexa) - then also she played songs. So 5* for the mic and 5* for processing the commands.I also connected it with smart devices like bulb and switches. Alexa processes every command clearly.",1
I have learned from this purchase that never prebook anything on Amazon. I ordered it on 19th October and it stated estimated delivery date of 23rd to 31st October. So i thought it shal get delivered by 24th or 25th October max but now it is showing 31st October. Whereas people who bought it after the launch date got it delivered in one day. And if i am looking to order now it is showing max 2 days of delivery time. Pathetic service from Amazon. Never ever prebook anything from Amazon.,1
Doesn't listen properly... Echodot 3 is best alexa.. for alexa Echodot 3 👍👍👍👍👍,1
Happy with the purchase. 4th generation echo dot has improved sound and I can notice the difference as my neighbours have echo dot 3 which is not that loud. I.also have Google Home hub but I like this 4th gen device sound. Crisp clear.I find it frustrating that you cannot play wynk music or YouTube directly with Alexa voice commands. That is the only downside.,1
Guys uve just done good Marketing but forgot to put good brains in the equipment.  Had u invested even an extra in creating a good AI it would have created wonders. So in nutshell Amazon is just trying to fool us with another junk. It cant understand anything's more than the weather report. Playing your playlist with JioSaavan is like crime..it just cant understand a bit..goes on playing whatever it wants irrespective of what you ask for. Amazon seems to have some rivalry with Google the most simple commands that Google does best was simply required to be integrated but it seems Alexa has been configured not to check anything on Google resultant in an extremely irritating n irrelevant feedbacks the device gives.Please grow up improve the playlist integration improve your search engines without reinventing the wheel. For heavens sake talk to it yourself n ull get the answer. Guys if you want to bang your head daily against an idiot buy this. It's just a refined Bluetooth speaker. Thts it..,5
The sound quality is best but bass is a bit ok ok but definately improved from previous generation. And most of them said that they had delivery issues even after preorder but I didn't face any issues even after preordering one day before the launch I recieved it one day after the launch. If you want to upgrade your 3rd generation to 4th generation then it will be worth it.,5
"The seal on the box was half broken but the product was ok till now , i placed the it for replacement but still in processVery disappointing, from the seal it looked like it was opened before.",5
It's worth of money .great prouct .major improments and design change over then 3 rd genartion .4 th genration alexa rating i giving to 9/10,5
Good but not great product. Disconnects frequently when connected to my laptop when using it as a speaker. Louder sounds but miss quality output. Like many other customers even I noticed that preordered customers received this product late and those who ordered post launch received it in just 1 or 2 days,1
Amazing smart speaker great sound I don't know why people saying it's just 3rd gen with spherical shape but the reality is that it's an upgrade over 3rd gen it's quite louder than 3rd gen with more bass I used 3rd gen on volume 6 and it gives much better experience at volume 4 so don't go for hate comments it's actually good got in sale for ₹3250 which is reasonable price,5
The sound is pretty low. I’d suggest to go for  echo dot 3 instead which is more powerful. Really expected too much from this device and I’m disappointed.,5
Good device but in-build skills are quite limited and skill available on alexa app are majorly for US customer. Amazon should bring more skills helpful for Indian users. They should also consider making the product in India rather than China as it will make customer feels more secure about their data.Preorder policy is not good as preorder product takes week to deliver and non-preorder delivers next day.,5
"My review comment.1. It's doesn't turn on the  normal FM.2. IF you are listening to high volume song and you want to stop by saying Alexa, it doesnt listen you have to keep on shouting loud.3. Sound is not that Great.",5
"Friends, got this Alexa model from Amazon online and started using since yesterday evening.Very awesome and amazing experience.Superb performance and I felt missing Alexa all these years. Anyhow better late than never.Most of you may be already using but as I do not know till date, I felt I missed a lot.In fact it is a true companion for all age groups.Those who want to try, I recommend 1000% 😊😊😊",4.4
There is no battery in this device....  How can I carry it.... What made the product designers to not give battery,5
"This is amazing product of amazon. The sound quality is the best. Also it's super smart, if you asked her perfect question. This new echo dot 4th generation arrived on dusshera so it's so special for us all. We are super satisfied and happy. Also the shape is so cute. She is most obedient kid of our house, listens to everything and everyone. If you are thinking to buy it, then please go for it, amazon won't Dissapoint anyone and personally trust amazon for each and every product 👍👌✨",2
"I searched for some telugu songs and English music on this device. It searched 50% correct item.but most of the times it says this song not available in music library.. after that I searched same song or album in gaana,hangama ,jio sa van, amazon music ...Etc..Which is alaa searching libraries.... that song or album avaible in all above music library which are the search engines for alaxa divice.Second one is you control with alaxa in your home devices if  that all devices must be smart devices.The third one is the alaxa divide not built in  battery.Forth one is google have better search engine.It's ok ...",1
"I have been using Alexa for past few days and here is my reviewPositives:Sound quality - Mind blowing and good quality toocan act as Bluetooth speaker if you connect from other devices. ( I connect it for calls from PC)Mic/Call quality - fire fire fireAlexa's understanding even at full volumeRelly good for basic tasks, news reading etc.,Negatives:No Spotify supportPoor Regional support(not up to the mark for the south Indian music/carnatic/film etcs)Not as friendly as Google assist/Siri w.r.t to regional trends",3
"This is just a life changing thing. Being an audiophile, it is very rare for me to overlook sound quality for an audio device but damn is this one good exception. This device just plays music in the most accessible way I've ever experienced. The first experience of just giving a voice command to play the song you want to hear while you are engaged with something else, is just life changing. No longer do I have to interact with my phone, connect my headphones and then listen to the song after searching for it. This device just takes out the friction of the music listening experience which is present on traditional devices.The smart features are pretty amazing too. Well, that's the bread and butter of this device so that was pretty much expected, and this device did deliver. The ""Skills"" and ""Routines"" in particular are very good features and just expand this device's capabilities as a smart home hub exponentially.Coming the the sound quality, I would say it is okay at best. The highs are decent and the mids are very clear but the low end is sub-par. The maximum volume level is acceptable and the audio does not distort much at the highest volume. Also, the mics on this thing are amazing. Overall, I would say that the sound quality is acceptable at least. The sound is not very tiny and is apt for casual music listening sessions, or just having some background music on.On top of it all it is also a very good ""toy"" for the elders and kids alike. I find my parents asking random and hilarious questions to Alexa and it is just a great side benefit.So, to sum this review up, the Echo Dot is one hell of a device, and is a great buy regardless of your intended use. This is just great!",5
"I have purchased 4th Generation Eco launched on 22-October and nice that I received it same day.Has used older version as well, but can't locate the difference between 3rd and 4th Generation(other than hardware design).Overall a nice product.",5
SoundIt is a bit louder than previous echo dots. But loses out on sound clarity. Sound seems muffled and distant with no treble and mid range.ResponsivenessSomehow I feel this generation is flawed. It just does not respond to the wake up word. I bought an Echo Dot. Then had it exchanged because it just stopped responding to the wake up word Alexa. The new one seems just as bad. The first generation could hear the word even when music was playing loudly on auxiliary speakers. This generation is pathetic in comparison.Not worth the money.,1
"I bought this echo dot to use it as a voice monitor fot my 7months old babyThe dropin feature in acho dot helps to hear the sounds in the baby room via mobile phone,This product is conveniet to play music, alarms  and switchon or off the lights with just a voice comandSound quality is clear and loud enough to fill the roomI like it",5
"Small but powerful speaker. Nice to listen to your favorite Bollywood retro songs or a web radio while cooking in the kitchen.  You can even ask Alexa for recipes, and set a timer to remind you when to stop the microwave. She can tell you the time/date/news headlines or even switch on the oven using an IoT plug. Alexa is also ideal for remembering your shopping list: you can add items to the list, as and when you notice you are running out of some grocery item.",1
"This particular model have some defects, it will not recognize your voice after some time you will keep on shouting alexa-alexa -echo, whatever you have seleceted as a wake word it will simply not respond then you have to press the mic enbale/disable button on the alexa physically then you will be able to give voice commands, sound quality is too poor for this product, bass is decent upto 60-70% volume bit after that all you get is sound like a cheap spekar you can get under 500 bucks. overall design is good but not worthy at this price point. Recommend you to purchase eco dot 3rd gen instead.",5
This is my 1st smart speaker. I settled down with alexa rather than google assistant basically because alexa is more updated with indian content and google assistant not. But if you have android tv n all go for google nest because of compatibility.Product quality is good looks are decent but sound quality is not good. In loud volume base is completely lacking and the audio sounds very weird.The ring ling looks way cooler though than the google nest mini.Alexa app is good. I found it at par with google assistant app. Its just that google is everywhere therefore its assistant is much more integrated everywhere in day to day tasks. But amazon alexa instead is much more accurate in terms of its personality and the response.,3
"I have been using this for only a week, so its my initial impression:Ordered the combo of 4th gen echo dot, firetv stick lite and wipro 9W smart bulb at 4900 with SBI credit card offer.First of all, those features which are not mentioned anywhere:FireTv has its inbuilt bluetooth through which u can connect your echo dot and use it as an external speaker for your TV/Monitor, whichever you are have connected your FireTv stick to. I bought Lite version coz I am using a monitor, power and volume buttons doesn't work on a monitor so no point buying normal FireTv stick. You can control echo dot's volume with Alexa voice vommands even when its connected through bluetooth with fireTv. Bluetooth connection process is very easy, just to to settings in FireTv, remote and bluetooth devices, search for other bluetooth devices, and it will show you Echo dot option.Coming to smart bulb , 9W is ok for a small room, definitely not worth its listed price of 599, but given the price of combo its really a steal!U can control it with echo dot and Wipro app!You can connect google next mini also as bluetooh speaker with FireTv stick but the ecosystem will not be compatible and u won't be able to give commands to your TV or Monitor!If u have prime, life would be easier as Amazon Music is default search for playing music by voice command ( you can select spotify also).Overall good combo pricing. Any bluetooth speaker also would cost around 2 to 3k, and I dont need battery backup for home use, and also speakers with battery builtin last less than normal ones.Overall Its good for Tech enthusiasts who want to taste some nextgen flavour, where IOT devices would be all around us!",5
"Excellent Product.. Absolutely loved it, very responsive and much upgraded than older version",1
"I received the 4th gen echo dot as a gift in February,I am not an extensive user,so it was rarely used. However,just after 2 months in April,it started giving trouble. It would Stop after 10 minutes automatically (the mic switch would function and glow when clicked, which means power supply working fine).It would only work,if I plug it off and then switch it on after sometime.I tried reaching out to Amazon echo customer support,who tried troubleshooting but then informed me it's hardware support and they would replace it.However, the process they asked me to go through is weird in the least. They asked me to place order for a new one, and once its delivered to return the old one in the new one's packaging and I would get the money back once the old one reach them.I did that and currently waiting for my refund as well as hoping that this one would last a little bit more than last 4th Gen.I would like to add here,I have gifted echo 3rd gen to my friends who has been using it regularly for more than a year without any issue of any sort.",4.4
"When ever I try to play a Tamil song, the sound recognition and play was very pathetic. Even when it has to play from my Amazon music playlist it was not upto satisfaction. It has some predefined stations from which it is getting playedIn Amazon Music app, the same voice recognition works awesome.But in Alexa, I don't know it was very bad and it used to play a very different song which became a playful thing for us and it was comical.Also for some reason, there was wifi connectivity issue I think where the song was getting stopped and resumed. May be a software glitch.May be I will give it a try at some point later when I get some good deals.Overall it was not to my satisfaction. Sound was good enough.",5
"the device works as expected, very good sound quality.. since the speakers are forward firing u may experience a bit drop in volume when hearing from side angle..vocals are very clear, enjoying podcasts..during set-up faced issue with selecting region, my account was somehow linked to Amazon US, called up CC and they were able to reset it to India..and now regarding the shipping: absolutely pathetic from Amazon, first thing my order was delayed even after reaching final delivery center, and it was very poorly packed, no kind of cushion given, the device box was fiddling around like crazy.. very poor from Amazon..to my luck the product was not damaged.. but really Amazon needs to pack things properly..",2
Delayed delivery for pre booked and next day delivery for ordering now.This is complete foolishness from amazon.y friend already got it and he placed order just yesterday,1
"Booked on 19th October with delivery date of 23rd October and now it shows 31st october, While many of my friends booked on 22nd October and received within 24hrs, My question is to Amazon management that, How did they deliver the products and everyday delivery date are getting changed. Please explain it, What is the benefits of pre order of product ....... Not happy with amazon ................ Stop making fool to customers please,,,, Do not forget that your business platform is customer based only. So don't try to manipulate with customers ..........",1
"Had some issues with the initial setup but overall, a very well made product. Great speakers with balanced bass, given the size. Alexa response time is also pretty quick. The ring light is quite hard to see from certain lower angles but that shouldn't be a big issue for most people depending on where they place the echo dot.Also, I pre-ordered it, but received it two days after release day so that didn't feel right on the seller's part.",2
It's not that responsive compare to other Eco Dot. Most of the time she is sleeping or else does something else as per her wish. I think the mic is not as required the problem is still after it was replaced by the Amazon. Its still in warranty but I don't think replacing will solve the issue. This is my experience can check some other reviews too,5
Product is wonderful at least it must be mentioned otherwise amazon will not post your review. I pre book it on 16 after paying extra for prime membership. But product not shipped yet.,1
"The audio is just bass heavy and the lows are not that great.Alexa is good but definitely lagging behind google assistant in terms of responding to unique voices.Too many skills in the Alexa app, unfortunately most of them don't work as expected.Needs amazon's effort to consolidate and test these skills then make it available to the public.Falls under the category of ""Skippable"".",5
"I have ordered 4th Generation, but received 3rd Generation.. Very disappointed...",5
"You may confused about looks, Yes it's looks is subject but That big it look in the picture it's not actually that big, and bottom light is stunning, I placed it on my study table over the glass it show cool effect.In can say in terms of LED light it is far better than echo dot 3.Sound quality is not that much rich, but it is balanced which you can listen in long hours.It not necessary but if you can offorrd definitely try it, like whenever you fell bore just play with it.",3
"This is my 1st ever Smart Device , Got it with the SMART Bulb and Fire TV stickAlexa was already there in one of my Bluetooth headphones which i got to know post installing Alexa in my phone to pair this ECHOYou can find plenty of SMART devices in the market, and SMART devices is a growing market and ALEXA and GOOGLE Assistant are the leaders in the Voice Assistant for the SMART DevicesYou can controlLights with voiceMusic with voiceSet AlarmsSet RemindersOrder FoodBook a Caband things are getting added so quickly in this platformPros:1. Design is awesome and when you speak the Ring light glows gives good looks2. Nice Bass3. Sturdy quality.4. Easily pairs with other SMART Devices5. Has buttons to Reduce volume or increase in it as well6. Nominal price7. ALEXA can understand only English and HINDI - more languages will be added in the futureCons:1. Need a continuous power.2. Need a continuous wifi connection.Suggestions :There is no Basic need for this deviceHowever if you want to make your home a smart home - this is a must to have device.",5
"In pictutes it looks a bit bulky, but I found a very cute and compact product after unboxing. Voice recognition is very good and it can recognise me from the other end of the room even with music playing.Sound quality is average, nothing too good. However, you can change the bass, trebble , etc from your Alexa app.I mainly use it for smart home automation, setting timers/reminders, and playing music. My music streaming service if choice is Spotify, and one needs a premium subscription of it to play music from voice. For other services like gaana and Saavn, it may work without subscription.Overall, a good purchase. If you have never owned an echo device before, you can certainly go for this one.",4
The 4th generation echo dot is surely a worthy upgrade from previous ones because of the following reasons-1. Improved Sound Quality2. Deeper Bass3. Enhanced voice response4. Great Build Quality5. Appealing looks😍If you are considering to buy a smart speaker then definitely go for it without any doubt. Trust me it's far ahead than competitors.,4
Biggest disappointment is that it needs to be connected to wallcharger for all the time. It doesn't have battery inside to store the power. How come Amazon couldn't figure out the way to provide charging option here? I also experienced long delays from Alexa and it didn't replied to my voice for most of the time.,1
I found this one is way more beautiful than that of previous hockey puck shape. Its underneath light ring reflects on surface beautifully. (Though looks vary from man to man)Sound quality is okay. Vocal is clearer than previous one but bass is noticeably lower.Now I have doubt on my decision of upgrading.If this one is your first one .. go for it..,4.4
"Your browser does not support HTML5 video.


   Pros:1. Best in class sound quality with nice bass2. Mic is good and can listen clearly even we are talking in low voice pitch3. New shape of echo dot is beautiful4. It can understand Hindi language and response is very good and accurate.Cons:1. It does not have connectivity with YouTube music or YouTube (however we can use that from mobile by connecting via Bluetooth to echo dot)2. Does not have inbuilt battery3. Does not capture current location automatically. We need to save it from Amazon alexa app.I will update above list (Pros and cons) after using it for more months",5
"One of the worst variants of their Alexa-enabled devices. I used the 2nd gen. and 3rd gen. as well. After having used the lastest one for over a month, I am disappointed to say it sucks. The device fails to hear the wake up 4/10 times. And suddenly it struck me that the AI remains as dumb as ever, so the upgrade is not worth it at all. If you still need one, I would advise you to go for the previous generation (3rd gen.); it’s way more responsive and has a decent audio too. I couldn’t return my device because it was a gift, else such a pathetic “AI” device shouldn’t have a place in anyone’s household.",2
"Your browser does not support HTML5 video.


   Pros :1. Superb sound quality2. Precise voice recognition3. Works flawlessly with other smart devices4. Can use in innovate and unique ways5. Alexa can identify différent person in home6. Reminders, task to-do etc are life changing7. Black color looks slick and the device feels premium. I love the white minimal adapter with no logoCons:1. Has a very low volume shaky clicking noises while playing old songs with full bass. It's due to movement of the inner parts as the noise levels of some songs mostly old songs are very high. But modern high bass songs work flawlessly as noise is already corrected by music publisher.",5
I use it a lot for reminders and alarms - for work toBe done by kids / their class schedules etcMy kids use it for playing musicMy maid uses it for swatting reminder to switch of motor 😀So all in all it’s become a very useful tool in the houseBut Amazon should expand its music library.. lot of songs still not played by Alexa as it’s not there in the music library of amazon music,4
"हैलो दोस्तों, टाइटिल पढ़ कर आप सभी को अजीब लगा होगा, लेकिन हमारी वर्तमान जीवन शैली का यह कड़वा सच है। आज मनुष्य मशीन में बदल गया है और मशीनें मानवीय रूप में हमारे जीवन का अभिन्न हिस्सा बनने की कोशिश में सफलता प्राप्त कर रही है। एलेक्सा ऐको 02nd जेनेरेशन डिवाइस पिछले 04 वर्षों से हमारे परिवार का अभिन्न हिस्सा है और मैंने अभी दीपावली पर 02 आल न्यू एलेक्सा ऐको डाट 04th जेनेरेशन डिवाइस खरीदें हैं।मेरे पिछले रिव्यू का गंभीरता से नोटिस लेने और एलेक्सा ऐको डिवाइस के साफ्टवेयर में आवश्यक सुधार कर उसे हिंदी भाषी जनता के लिए उपयुक्त बनाने के लिए मैं एलेक्सा टीम को धन्यवाद देते हुए एक अनुरोध करना चाहूंगा कि इस रिव्यू को प्राथमिकता देते हुए प्रकाशित करें जिससे हिंदी भाषी जनता यह जान सके कि अब वह सभी एलेक्सा ऐको डिवाइस को अपना साथी बना सकते हैं क्योंकि अब हमारी ""एलेक्सा ऐको"" बड़े अच्छे से हिंदी समझ सकती है और हिंदी में ही हमारे-आपके सभी सवालों और जिज्ञासाओं का जवाब देने में समर्थ है। इसके साथ ही यह ""स्मार्ट होम लाइट्स"" के संयोजन से हमारे-आपके कमांड का सुगमता से पालन कर लाइट्स को आन-आफ करने, लाइट्स का रंग बदलने और हमारे द्वारा निर्धारित समय पर सुबह-शाम आन-आफ करने का काम आसानी से कर सकती है और म्यूजिक के मामले में तो इसका कोई जवाब नहीं है यह अपने पहले के सभी वर्जन से बहुत ज्यादा अपडेटेड है। दो एलेक्सा ऐको डाट डिवाइस के साथ आपको बेहतर स्टीरियो साउंड मिलता है और आप इसे अमेजन म्यूजिक, स्पाटीफाई, जियो सावन और अपने मोबाइल के ब्लूटूथ से कनेक्ट कर सकते है और अपने मनपसंद म्यूजिक का आनंद ले सकते हैं।",1
"Got delivery within 24 hours very fast delivery by Amazon😁To Setup echo dot is very easy after reading manual within 5 minutes echo dot set🤗I purchased a combo of echo dot with smart led bulb so after setup echo I setup Wipro smart bulb but bulb takes 10-15 minutes to setup I don't know why?🤔  But after setup within a few seconds Alexa automatically detects my smart bulb wow very fastThenafter I purchased few smart plugs and Alexa detects automatically all the plugs and here we go Alexa works fabulously just say ""Alexa"" and work startsListen Audibles, Jokes, Songs, controlling appliance making shopping list, reminders etc Alexa does it allI am very happy with the purchase and thanks Amazon for giving me extra discount as prime member😘",4
