Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag
2018,1,1,10,0,0,0,0,4,-7,-1.7,1015,67.31,122.23,0.9,357,3.8,0
2018,1,1,10,30,0,0,0,4,-7,-1.9,1016,68.37,115.96,0.8,181,3.8,0
2018,1,1,11,0,0,0,0,4,-6.3,-2.1,1016,72.92,109.78,0.8,5,3.9,0
2018,1,1,11,30,0,0,0,4,-6.3,-2.2,1017,73.53,103.69,0.8,9,4,0
2018,1,1,12,0,0,0,0,8,-5.8,-2.3,1017,76.77,97.73,0.8,14,4,0
2018,1,1,12,30,2,14,2,4,-5.8,-2.1,1018,75.72,91.92,0.7,19,4.4,14
2018,1,1,13,0,30,249,47,4,-6.3,-2,1018,72.5,86.08,0.7,23,4.7,96
2018,1,1,13,30,50,491,129,4,-6.3,-1.5,1019,69.95,80.8,0.7,26,5,100
2018,1,1,14,0,63,648,223,7,-8.1,-1.1,1019,58.99,75.73,0.7,28,5.2,61
2018,1,1,14,30,72,742,314,7,-8.1,-0.4,1019,56.06,71,0.7,28,5.2,0
2018,1,1,15,0,78,811,399,7,-9.6,0.2,1020,47.68,66.68,0.6,28,5.1,0
2018,1,1,15,30,83,859,475,7,-9.6,0.9,1020,45.33,62.88,0.6,27,5,0
2018,1,1,16,0,86,891,536,7,-10,1.6,1020,41.93,59.69,0.6,25,4.9,0
2018,1,1,16,30,88,912,582,7,-10,1.9,1019,41.01,57.23,0.6,22,4.8,0
2018,1,1,17,0,88,927,612,7,-9.9,2.3,1019,40.18,55.59,0.6,19,4.7,0
2018,1,1,17,30,91,928,625,7,-9.9,2.4,1019,39.9,54.84,0.6,16,4.6,0
2018,1,1,18,0,92,922,621,7,-9.9,2.6,1019,39.4,55.02,0.6,13,4.5,0
2018,1,1,18,30,91,921,604,7,-9.9,2.5,1018,39.64,56.13,0.5,11,4.5,0
2018,1,1,19,0,88,913,570,7,-10,2.4,1018,39.5,58.1,0.5,9,4.5,0
2018,1,1,19,30,84,892,518,7,-10,2.1,1018,40.36,60.86,0.5,8,4.4,0
2018,1,1,20,0,79,863,453,7,-10.2,1.8,1019,40.57,64.3,0.5,8,4.4,0
2018,1,1,20,30,72,821,375,7,-10.2,1.4,1019,41.74,68.31,0.5,9,4.2,0
2018,1,1,21,0,62,760,287,7,-10.4,1,1019,42.45,72.81,0.5,9,4.1,29
2018,1,1,21,30,51,668,194,7,-10.4,0.3,1019,44.65,77.68,0.5,10,3.6,68
2018,1,1,22,0,38,521,103,0,-10,-0.4,1019,48.38,82.85,0.4,11,3.1,32
2018,1,1,22,30,18,212,25,0,-10,-1.4,1020,52.1,88.14,0.4,12,2.7,18
2018,1,1,23,0,0,0,0,0,-9.5,-2.4,1020,58.41,94.17,0.4,12,2.2,0
2018,1,1,23,30,0,0,0,0,-9.5,-2.4,1020,58.41,100.04,0.4,12,2.2,0
2018,1,2,0,0,0,0,0,0,-9.6,-3.5,1021,62.91,106.06,0.4,12,2,0
2018,1,2,0,30,0,0,0,0,-9.6,-3.8,1021,64.34,112.19,0.4,13,2,0
2018,1,2,1,0,0,0,0,0,-9.7,-4.1,1021,65,118.41,0.4,13,1.9,0
2018,1,2,1,30,0,0,0,0,-9.7,-4.5,1021,66.99,124.69,0.4,14,1.9,0
2018,1,2,2,0,0,0,0,0,-9.8,-4.8,1021,67.84,131.03,0.4,15,1.8,0
2018,1,2,2,30,0,0,0,0,-9.8,-5.2,1021,69.92,137.39,0.3,15,1.7,0
2018,1,2,3,0,0,0,0,0,-9.9,-5.5,1021,71.03,143.75,0.3,15,1.6,0
2018,1,2,3,30,0,0,0,0,-9.9,-5.7,1022,72.19,150.08,0.3,15,1.6,0
2018,1,2,4,0,0,0,0,0,-10,-5.9,1022,72.67,156.29,0.3,15,1.6,0
2018,1,2,4,30,0,0,0,0,-10,-6,1022,73.22,162.25,0.3,15,1.7,0
2018,1,2,5,0,0,0,0,0,-10.1,-6.1,1022,73.28,167.52,0.3,14,1.7,0
2018,1,2,5,30,0,0,0,0,-10.1,-6.1,1022,73.28,170.82,0.3,14,1.8,0
2018,1,2,6,0,0,0,0,0,-10.2,-6.2,1022,73.37,169.95,0.4,14,1.9,0
2018,1,2,6,30,0,0,0,0,-10.2,-6.2,1022,73.37,165.65,0.4,14,2,0
2018,1,2,7,0,0,0,0,0,-10.3,-6.3,1022,73.52,160.03,0.4,14,2.2,0
2018,1,2,7,30,0,0,0,0,-10.3,-6.3,1022,73.52,153.95,0.4,14,2.3,0
2018,1,2,8,0,0,0,0,0,-10.3,-6.3,1022,73.19,147.68,0.4,14,2.5,0
2018,1,2,8,30,0,0,0,0,-10.3,-6.3,1022,73.19,141.33,0.4,15,2.7,0
2018,1,2,9,0,0,0,0,0,-10.4,-6.4,1022,73.36,134.97,0.4,16,2.9,0
2018,1,2,9,30,0,0,0,0,-10.4,-6.4,1022,73.36,128.61,0.4,17,3,0
2018,1,2,10,0,0,0,0,0,-10.5,-6.4,1022,72.57,122.29,0.4,18,3.2,0
2018,1,2,10,30,0,0,0,0,-10.5,-6.4,1022,72.57,116.02,0.4,20,3.2,0
2018,1,2,11,0,0,0,0,0,-10.7,-6.4,1023,71.4,109.83,0.4,21,3.2,0
2018,1,2,11,30,0,0,0,0,-10.7,-6.5,1023,71.95,103.74,0.4,25,3.3,0
2018,1,2,12,0,0,0,0,0,-11.1,-6.5,1023,69.68,97.77,0.4,28,3.4,0
2018,1,2,12,30,3,29,2,7,-11.1,-6.1,1023,67.58,91.96,0.4,35,4,14
2018,1,2,13,0,27,375,52,4,-12.5,-5.7,1024,58.52,86.11,0.4,42,4.5,100
2018,1,2,13,30,41,607,138,7,-12.5,-5,1024,55.5,80.82,0.4,45,4.7,100
2018,1,2,14,0,53,737,234,7,-13.7,-4.3,1024,47.91,75.75,0.4,47,4.8,57
2018,1,2,14,30,60,819,327,7,-13.7,-3.6,1024,45.46,71,0.4,47,4.7,0
2018,1,2,15,0,67,874,413,7,-14,-2.9,1024,42.19,66.67,0.4,47,4.6,0
2018,1,2,15,30,72,913,488,7,-14,-2.1,1023,39.72,62.86,0.4,46,4.6,0
2018,1,2,16,0,74,941,549,0,-14,-1.3,1023,37.56,59.66,0.4,45,4.5,0
2018,1,2,16,30,76,960,596,0,-14,-0.6,1022,35.66,57.18,0.4,44,4.4,0
2018,1,2,17,0,76,974,627,0,-13.9,0.2,1022,33.84,55.52,0.4,42,4.2,0
2018,1,2,17,30,75,981,641,0,-13.9,0.8,1021,32.38,54.75,0.4,42,4.1,0
2018,1,2,18,0,74,983,639,0,-13.8,1.3,1021,31.43,54.92,0.4,42,4.1,0
2018,1,2,18,30,74,976,619,0,-13.8,1.6,1020,30.73,56.02,0.4,42,4,0
2018,1,2,19,0,71,963,582,0,-13.9,1.9,1020,30.05,57.98,0.4,42,3.9,0
2018,1,2,19,30,69,943,530,0,-13.9,1.8,1020,30.27,60.73,0.4,42,3.8,0
2018,1,2,20,0,66,913,464,0,-13.6,1.7,1019,31.06,64.17,0.4,41,3.7,0
2018,1,2,20,30,61,872,385,0,-13.6,1.3,1019,31.97,68.18,0.4,42,3.4,0
2018,1,2,21,0,54,812,296,0,-12.9,0.9,1019,34.92,72.67,0.4,43,3.1,0
2018,1,2,21,30,46,717,201,0,-12.9,-0.8,1019,39.5,77.54,0.4,46,2.3,0
2018,1,2,22,0,35,559,106,0,-10.6,-2.5,1019,53.63,82.72,0.4,49,1.5,0
2018,1,2,22,30,19,241,27,0,-10.6,-3,1019,55.66,88.01,0.4,52,1.5,0
2018,1,2,23,0,0,0,0,0,-10.6,-3.6,1019,58.44,94.03,0.4,56,1.5,0
2018,1,2,23,30,0,0,0,0,-10.6,-3.6,1019,58.44,99.91,0.4,56,1.5,0
2018,1,3,0,0,0,0,0,0,-10.7,-3.7,1018,58.09,105.92,0.5,61,1.7,0
2018,1,3,0,30,0,0,0,0,-10.7,-3.8,1018,58.53,112.05,0.5,63,1.8,0
2018,1,3,1,0,0,0,0,0,-10.8,-3.8,1018,58.48,118.27,0.5,65,1.8,0
2018,1,3,1,30,0,0,0,0,-10.8,-3.7,1017,57.99,124.56,0.5,66,1.8,0
2018,1,3,2,0,0,0,0,0,-10.5,-3.7,1017,59.11,130.9,0.5,67,1.8,0
2018,1,3,2,30,0,0,0,0,-10.5,-3.8,1017,59.55,137.26,0.5,67,1.8,0
2018,1,3,3,0,0,0,0,0,-10.4,-4,1016,60.87,143.62,0.5,66,1.7,0
2018,1,3,3,30,0,0,0,0,-10.4,-4,1016,60.87,149.94,0.5,64,1.7,0
2018,1,3,4,0,0,0,0,7,-10.5,-4,1016,60.36,156.15,0.5,62,1.8,0
2018,1,3,4,30,0,0,0,7,-10.5,-3.9,1016,59.91,162.11,0.5,57,1.9,0
2018,1,3,5,0,0,0,0,7,-10.9,-3.8,1016,58.01,167.38,0.5,52,2.1,0
2018,1,3,5,30,0,0,0,7,-10.9,-3.7,1015,57.52,170.71,0.5,47,2.2,0
2018,1,3,6,0,0,0,0,7,-11.1,-3.7,1015,56.64,169.91,0.5,41,2.3,0
2018,1,3,6,30,0,0,0,7,-11.1,-3.6,1015,56.22,165.66,0.5,37,2.3,0
2018,1,3,7,0,0,0,0,0,-11,-3.6,1015,56.36,160.07,0.5,32,2.4,0
2018,1,3,7,30,0,0,0,7,-11,-3.6,1014,56.3,154,0.5,28,2.3,0
2018,1,3,8,0,0,0,0,7,-11,-3.7,1014,57.01,147.74,0.6,24,2.3,0
2018,1,3,8,30,0,0,0,7,-11,-3.6,1014,56.59,141.4,0.6,22,2.2,0
2018,1,3,9,0,0,0,0,7,-11,-3.6,1014,56.75,135.03,0.7,19,2.1,0
2018,1,3,9,30,0,0,0,7,-11,-3.5,1013,56.27,128.67,0.8,19,2.2,0
2018,1,3,10,0,0,0,0,7,-11,-3.4,1013,55.74,122.35,0.8,20,2.2,0
2018,1,3,10,30,0,0,0,7,-11,-3.4,1012,55.68,116.08,0.9,26,2.5,0
2018,1,3,11,0,0,0,0,7,-11.1,-3.4,1012,55.19,109.88,1,32,2.8,0
2018,1,3,11,30,0,0,0,7,-11.1,-3.4,1012,55.19,103.79,1,29,2.2,0
2018,1,3,12,0,0,0,0,7,-10.1,-3.5,1013,60.18,97.81,1,25,1.6,0
2018,1,3,12,30,2,8,2,7,-10.1,-3.2,1013,58.85,91.99,1,23,1.9,14
2018,1,3,13,0,30,187,43,7,-10.9,-2.9,1013,54.19,86.14,1,22,2.2,100
2018,1,3,13,30,55,420,122,7,-10.9,-2.6,1013,53,80.84,0.9,24,2.4,100
2018,1,3,14,0,71,581,214,7,-11.5,-2.3,1013,49.24,75.76,0.9,27,2.6,57
2018,1,3,14,30,78,701,306,6,-11.5,-1.8,1013,47.45,71,0.9,24,2.8,0
2018,1,3,15,0,78,797,394,0,-11.6,-1.3,1013,45.43,66.66,0.8,21,2.9,0
2018,1,3,15,30,82,850,470,0,-11.6,-0.2,1012,41.88,62.83,0.7,16,3.1,0
2018,1,3,16,0,83,890,533,0,-11.3,0.9,1012,39.53,59.61,0.7,12,3.2,0
2018,1,3,16,30,85,917,583,0,-11.4,1.9,1011,36.76,57.12,0.6,8,3.3,0
2018,1,3,17,0,85,932,614,0,-10.7,2.8,1010,36.33,55.44,0.6,4,3.4,0
2018,1,3,17,30,86,936,627,0,-10.7,3.4,1009,34.78,54.66,0.6,181,3.4,0
2018,1,3,18,0,86,934,624,4,-10.8,4.1,1008,32.93,54.82,0.6,357,3.4,0
2018,1,3,18,30,86,924,604,4,-10.8,4.3,1008,32.48,55.9,0.6,352,3.5,0
2018,1,3,19,0,85,905,567,4,-11.1,4.6,1007,31.07,57.85,0.6,348,3.6,0
2018,1,3,19,30,83,879,515,4,-11.1,4.5,1007,31.29,60.6,0.6,344,3.5,0
2018,1,3,20,0,80,842,449,4,-10.7,4.4,1007,32.42,64.03,0.6,341,3.5,0
2018,1,3,20,30,74,796,372,7,-10.7,3.7,1007,34.05,68.04,0.6,337,2.8,0
2018,1,3,21,0,66,729,285,0,-8.4,2.9,1007,43.39,72.53,0.6,332,2.2,0
2018,1,3,21,30,55,633,193,0,-8.4,0.7,1007,50.77,77.4,0.6,328,1.8,0
2018,1,3,22,0,39,479,101,0,-8.4,-1.5,1007,59.23,82.58,0.6,323,1.5,0
2018,1,3,22,30,18,190,25,0,-8.4,-2.2,1007,62.37,87.88,0.6,320,1.5,0
2018,1,3,23,0,0,0,0,0,-9.2,-2.8,1007,61.47,93.89,0.6,318,1.6,0
2018,1,3,23,30,0,0,0,0,-9.2,-2.8,1007,61.47,99.76,0.6,318,1.6,0
2018,1,4,0,0,0,0,0,0,-8.9,-2.8,1008,62.76,105.78,0.5,313,1.7,0
2018,1,4,0,30,0,0,0,0,-8.9,-2.9,1008,63.22,111.91,0.5,310,1.8,0
2018,1,4,1,0,0,0,0,0,-8.6,-3,1008,65.18,118.13,0.5,308,1.8,0
2018,1,4,1,30,0,0,0,0,-8.6,-3.1,1008,65.67,124.42,0.5,304,1.8,0
2018,1,4,2,0,0,0,0,0,-8.4,-3.3,1008,67.75,130.76,0.5,301,1.9,0
2018,1,4,2,30,0,0,0,0,-8.4,-3.3,1008,67.75,137.12,0.5,300,2,0
2018,1,4,3,0,0,0,0,0,-8.3,-3.4,1007,68.6,143.48,0.4,298,2.1,0
2018,1,4,3,30,0,0,0,0,-8.3,-3.5,1007,69.11,149.8,0.4,297,2.3,0
2018,1,4,4,0,0,0,0,0,-8.4,-3.5,1007,68.89,156.01,0.4,296,2.4,0
2018,1,4,4,30,0,0,0,0,-8.4,-3.5,1007,68.89,161.96,0.4,294,2.6,0
2018,1,4,5,0,0,0,0,0,-8.5,-3.5,1007,68.14,167.23,0.4,293,2.8,0
2018,1,4,5,30,0,0,0,0,-8.5,-3.6,1007,68.65,170.58,0.5,293,2.8,0
2018,1,4,6,0,0,0,0,0,-8.6,-3.6,1008,68.15,169.86,0.5,292,2.9,0
2018,1,4,6,30,0,0,0,0,-8.6,-3.7,1008,68.66,165.67,0.5,292,2.9,0
2018,1,4,7,0,0,0,0,0,-8.6,-3.8,1008,69.41,160.11,0.5,293,3,0
2018,1,4,7,30,0,0,0,0,-8.6,-3.9,1008,69.93,154.05,0.4,293,2.9,0
2018,1,4,8,0,0,0,0,0,-8.5,-4,1008,71.07,147.79,0.4,293,2.8,0
2018,1,4,8,30,0,0,0,0,-8.5,-4.1,1008,71.61,141.45,0.4,291,2.8,0
2018,1,4,9,0,0,0,0,0,-8.4,-4.2,1008,72.32,135.08,0.4,290,2.9,0
2018,1,4,9,30,0,0,0,0,-8.4,-4.3,1008,72.86,128.73,0.4,288,2.9,0
2018,1,4,10,0,0,0,0,0,-8.5,-4.4,1008,73.21,122.4,0.4,286,3,0
2018,1,4,10,30,0,0,0,0,-8.5,-4.5,1008,73.76,116.13,0.4,286,3,0
2018,1,4,11,0,0,0,0,0,-8.5,-4.6,1008,74.14,109.93,0.4,285,3,0
2018,1,4,11,30,0,0,0,0,-8.5,-4.6,1008,74.14,103.83,0.4,285,3.1,0
2018,1,4,12,0,0,0,0,0,-8.5,-4.6,1008,74.25,97.85,0.4,285,3.1,0
2018,1,4,12,30,3,30,2,0,-8.5,-3.8,1009,69.99,92.02,0.4,287,3.5,0
2018,1,4,13,0,26,380,51,0,-8.1,-3,1009,68.05,86.16,0.4,288,3.9,0
2018,1,4,13,30,41,617,139,0,-8.1,-1.9,1009,62.73,80.86,0.4,296,4.4,0
2018,1,4,14,0,50,751,235,0,-8.9,-0.7,1009,53.83,75.76,0.4,304,5,0
2018,1,4,14,30,57,835,329,0,-8.9,0.1,1009,50.79,70.99,0.4,303,5.1,0
2018,1,4,15,0,62,893,416,0,-9.7,1,1010,44.55,66.64,0.4,302,5.1,0
2018,1,4,15,30,66,930,491,0,-9.8,1.8,1009,42.02,62.79,0.4,301,5.2,0
2018,1,4,16,0,68,955,552,0,-10.2,2.6,1009,38.38,59.56,0.4,300,5.2,0
2018,1,4,16,30,71,971,599,0,-10.2,3.3,1009,36.53,57.05,0.4,300,5.3,0
2018,1,4,17,0,73,980,630,0,-10.5,4,1008,34.01,55.36,0.4,299,5.3,0
2018,1,4,17,30,75,982,644,0,-10.5,4.5,1008,32.84,54.56,0.4,299,5.3,0
2018,1,4,18,0,75,979,641,0,-10.7,5,1008,31.25,54.7,0.4,300,5.4,0
2018,1,4,18,30,75,970,621,0,-10.7,5.2,1008,30.82,55.77,0.4,300,5.3,0
2018,1,4,19,0,76,954,585,0,-10.6,5.3,1008,30.63,57.72,0.4,301,5.3,0
2018,1,4,19,30,73,933,533,0,-10.6,5.2,1008,30.85,60.46,0.4,302,5.2,0
2018,1,4,20,0,69,903,467,0,-10.5,5,1008,31.7,63.88,0.4,302,5,0
2018,1,4,20,30,65,861,389,0,-10.5,4.3,1008,33.28,67.89,0.4,303,4.5,0
2018,1,4,21,0,58,801,300,0,-9.9,3.6,1009,36.48,72.38,0.4,304,4,0
2018,1,4,21,30,49,709,205,0,-9.9,1.6,1009,42.04,77.25,0.4,305,3.2,0
2018,1,4,22,0,36,560,110,0,-9.6,-0.4,1009,49.8,82.43,0.4,306,2.5,0
2018,1,4,22,30,19,250,29,0,-9.6,-1.2,1010,52.85,87.74,0.4,308,2.5,0
2018,1,4,23,0,0,0,0,0,-10.1,-1.9,1011,53.65,93.74,0.4,309,2.6,0
2018,1,4,23,30,0,0,0,0,-10.1,-1.9,1011,53.65,99.62,0.4,309,2.6,0
2018,1,5,0,0,0,0,0,0,-10.4,-2.2,1012,53.55,105.64,0.4,313,2.9,0
2018,1,5,0,30,0,0,0,0,-10.4,-2.5,1012,54.75,111.77,0.4,316,3,0
2018,1,5,1,0,0,0,0,0,-10.6,-2.7,1012,54.36,117.99,0.4,318,3,0
2018,1,5,1,30,0,0,0,0,-10.6,-3.1,1013,56.05,124.28,0.4,319,2.9,0
2018,1,5,2,0,0,0,0,0,-10.9,-3.4,1013,56.21,130.62,0.4,321,2.8,0
2018,1,5,2,30,0,0,0,0,-10.9,-3.8,1013,57.91,136.99,0.4,320,2.6,0
2018,1,5,3,0,0,0,0,0,-10.9,-4.2,1014,59.51,143.35,0.4,319,2.3,0
2018,1,5,3,30,0,0,0,0,-10.9,-4.4,1014,60.41,149.67,0.4,318,2.2,0
2018,1,5,4,0,0,0,0,0,-11,-4.7,1014,61.25,155.87,0.4,316,2.2,0
2018,1,5,4,30,0,0,0,0,-11,-4.8,1014,61.72,161.82,0.4,316,2.2,0
2018,1,5,5,0,0,0,0,0,-11.1,-4.9,1014,61.68,167.08,0.4,315,2.2,0
2018,1,5,5,30,0,0,0,0,-11.1,-5,1014,62.15,170.45,0.4,316,2.2,0
2018,1,5,6,0,0,0,0,0,-11.1,-5.1,1014,62.58,169.81,0.4,316,2.1,0
2018,1,5,6,30,0,0,0,0,-11.1,-5.2,1015,63.12,165.68,0.4,316,2.1,0
2018,1,5,7,0,0,0,0,0,-11.1,-5.2,1015,63.37,160.14,0.5,317,2.1,0
2018,1,5,7,30,0,0,0,0,-11.1,-5.3,1015,63.85,154.09,0.5,318,2.1,0
2018,1,5,8,0,0,0,0,0,-11,-5.3,1015,64.15,147.84,0.5,318,2,0
2018,1,5,8,30,0,0,0,0,-11,-5.3,1015,64.15,141.5,0.5,319,2,0
2018,1,5,9,0,0,0,0,0,-11,-5.3,1015,64.15,135.14,0.6,320,2,0
2018,1,5,9,30,0,0,0,0,-11,-5.4,1015,64.64,128.78,0.6,320,2,0
2018,1,5,10,0,0,0,0,0,-11.1,-5.4,1016,64.33,122.45,0.6,320,2,0
2018,1,5,10,30,0,0,0,0,-11.1,-5.4,1016,64.33,116.17,0.7,320,2,0
2018,1,5,11,0,0,0,0,0,-11.2,-5.4,1016,63.68,109.97,0.7,319,2.1,0
2018,1,5,11,30,0,0,0,0,-11.2,-5.3,1017,63.26,103.86,0.7,318,2.1,0
2018,1,5,12,0,0,0,0,0,-11.4,-5.3,1017,62.04,97.88,0.7,316,2.1,0
2018,1,5,12,30,3,23,2,0,-11.4,-4.7,1018,59.34,92.04,0.7,320,2.5,0
2018,1,5,13,0,26,327,48,0,-12.7,-4,1018,50.64,86.18,0.7,324,2.9,0
2018,1,5,13,30,43,568,133,0,-12.7,-3.1,1018,47.34,80.86,0.7,325,3,0
2018,1,5,14,0,52,710,227,0,-13.7,-2.1,1019,40.85,75.76,0.7,326,3,0
2018,1,5,14,30,60,798,320,0,-13.6,-1,1019,37.68,70.98,0.7,323,2.9,0
2018,1,5,15,0,65,858,406,0,-13.7,0.1,1019,34.74,66.61,0.7,320,2.7,0
2018,1,5,15,30,69,898,480,0,-13.7,1.2,1019,32.1,62.75,0.7,316,2.7,0
2018,1,5,16,0,72,925,541,0,-13.1,2.2,1018,31.35,59.5,0.7,311,2.6,0
2018,1,5,16,30,74,941,587,7,-13.1,3.1,1018,29.41,56.98,0.7,305,2.7,0
2018,1,5,17,0,77,950,618,7,-11.7,3.9,1017,31.05,55.27,0.7,300,2.8,0
2018,1,5,17,30,80,950,632,0,-11.7,4.6,1017,29.57,54.45,0.7,298,2.9,0
2018,1,5,18,0,81,944,628,0,-10.8,5.3,1016,30.19,54.58,0.7,295,3.1,0
2018,1,5,18,30,82,934,609,7,-10.8,5.6,1016,29.57,55.64,0.7,295,3.2,0
2018,1,5,19,0,81,917,573,7,-10,6,1015,30.62,57.58,0.7,295,3.3,0
2018,1,5,19,30,79,889,519,7,-10,6,1015,30.62,60.31,0.8,294,3.2,0
2018,1,5,20,0,76,855,454,7,-9.2,5.9,1015,32.98,63.73,0.8,294,3.1,0
2018,1,5,20,30,70,810,377,7,-9.2,4.9,1015,35.35,67.74,0.8,293,2.3,0
2018,1,5,21,0,63,744,290,7,-5.7,4,1016,49.05,72.22,0.8,292,1.6,14
2018,1,5,21,30,54,647,198,7,-5.8,2,1016,56.5,77.1,0.8,293,1.5,100
2018,1,5,22,0,40,491,106,7,-6.7,0.1,1016,60.16,82.28,0.8,293,1.4,100
2018,1,5,22,30,20,202,28,7,-6.7,-0.4,1016,62.38,87.6,0.8,296,1.4,71
2018,1,5,23,0,0,0,0,7,-7.3,-0.9,1017,61.68,93.59,0.8,298,1.5,0
2018,1,5,23,30,0,0,0,7,-7.3,-0.9,1017,61.68,99.47,0.8,298,1.5,0
2018,1,6,0,0,0,0,0,7,-7.2,-1.2,1017,63.95,105.5,0.8,304,1.5,0
2018,1,6,0,30,0,0,0,7,-7.2,-1.3,1017,64.42,111.63,0.8,307,1.4,0
2018,1,6,1,0,0,0,0,7,-7,-1.5,1017,66.05,117.85,0.8,310,1.4,0
2018,1,6,1,30,0,0,0,7,-7,-1.7,1017,67.03,124.14,0.8,313,1.4,0
2018,1,6,2,0,0,0,0,7,-7,-1.9,1017,68.22,130.48,0.8,315,1.4,0
2018,1,6,2,30,0,0,0,7,-7,-2.1,1018,69.3,136.85,0.8,317,1.3,0
2018,1,6,3,0,0,0,0,7,-7,-2.3,1018,69.95,143.21,0.8,319,1.3,0
2018,1,6,3,30,0,0,0,0,-7,-2.5,1018,70.99,149.52,0.8,321,1.3,0
2018,1,6,4,0,0,0,0,0,-7.2,-2.7,1018,71.11,155.73,0.8,323,1.3,0
2018,1,6,4,30,0,0,0,0,-7.2,-2.9,1018,72.18,161.67,0.8,325,1.3,0
2018,1,6,5,0,0,0,0,0,-7.5,-3.1,1019,71.9,166.93,0.8,327,1.2,0
2018,1,6,5,30,0,0,0,0,-7.5,-3.2,1019,72.43,170.32,0.8,329,1.2,0
2018,1,6,6,0,0,0,0,0,-7.7,-3.4,1019,72.34,169.74,0.8,332,1.2,0
2018,1,6,6,30,0,0,0,0,-7.7,-3.4,1019,72.34,165.67,0.8,335,1.2,0
2018,1,6,7,0,0,0,0,0,-7.7,-3.5,1019,72.47,160.16,0.8,339,1.1,0
2018,1,6,7,30,0,0,0,0,-7.7,-3.5,1019,72.47,154.13,0.8,342,1.1,0
2018,1,6,8,0,0,0,0,0,-7.7,-3.6,1019,72.97,147.89,0.8,345,1.1,0
2018,1,6,8,30,0,0,0,0,-7.7,-3.6,1019,72.97,141.55,0.8,348,1.2,0
2018,1,6,9,0,0,0,0,0,-7.8,-3.6,1019,72.85,135.18,0.8,350,1.3,0
2018,1,6,9,30,0,0,0,0,-7.8,-3.6,1019,72.85,128.82,0.8,352,1.3,0
2018,1,6,10,0,0,0,0,0,-7.8,-3.6,1019,72.67,122.49,0.8,354,1.4,0
2018,1,6,10,30,0,0,0,0,-7.8,-3.6,1020,72.74,116.21,0.8,356,1.5,0
2018,1,6,11,0,0,0,0,0,-7.8,-3.6,1020,72.59,110.01,0.8,359,1.5,0
2018,1,6,11,30,0,0,0,0,-7.8,-3.6,1020,72.59,103.9,0.8,180,1.6,0
2018,1,6,12,0,0,0,0,0,-7.8,-3.6,1021,72.75,97.9,0.9,2,1.6,0
2018,1,6,12,30,3,18,2,0,-7.8,-2.7,1021,68.04,92.06,0.9,4,2.1,0
2018,1,6,13,0,27,284,46,0,-7.8,-1.8,1021,63.37,86.19,0.9,5,2.6,0
2018,1,6,13,30,46,516,128,0,-7.8,-0.6,1021,58.04,80.87,0.9,8,2.9,25
2018,1,6,14,0,59,654,220,0,-8.5,0.6,1022,50.38,75.75,0.9,12,3.2,39
2018,1,6,14,30,69,741,311,7,-8.5,1.6,1022,46.89,70.96,0.9,11,3.2,0
